query_id,query_planning_time,plan_total_cost,plan_startup_cost,plan_rows,plan_width,output_rows,max_depth,num_operators,has_sort,has_hash,is_parallel_aware,max_workers_planned,max_workers_launched,node_type_Seq Scan_count,node_type_Hash Join_count,node_type_Merge Join_count,node_type_Nested Loop_count,node_type_Aggregate_count,node_type_Sort_count,node_type_Limit_count,node_type_Materialize_count,node_type_Gather_count,node_type_Gather Merge_count,node_type_OTHER_count,total_estimated_rows,total_estimated_bytes,total_actual_rows,total_actual_loops,total_actual_time_node,rows_estimate_error,rows_estimate_ratio,output_row_estimation_error,output_row_estimation_ratio,cost_time_ratio,sum_node_actual_time_vs_total_actual_time_ratio,query_length_chars,has_group_by,has_order_by,has_limit,num_aggregate_functions,num_joins,num_tables_referenced,num_where_conditions,actual_execution_time
2812,0.112,1243754.89,1243753.26,14,98,14,9,12,1,1,1,2,2,3,2,0,0,2,1,1,0,0,1,2,27332723.0,1822784154.0,9068537.0,30.0,76149.381,-18264186.0,0.3317831523774635,0,1.0,0.005763660555336591,10.622657538500297,480,1,1,1,1,2,3,1,7168.581
2813,0.172,25423.45,24957.96,38,161,0,6,10,1,0,1,2,2,4,0,0,3,0,1,1,0,0,1,0,10404.0,86873.0,0.0,11.0,75.811,-10404.0,0.0,-38,0.0,0.0004420328476268956,6.745951236874889,521,0,1,1,0,3,4,1,11.238
2814,0.063,24356.97,24356.95,1,166,0,5,8,1,0,0,0,0,3,0,0,2,1,1,1,0,0,0,0,233.0,8188.0,0.0,6.0,58.593999999999994,-233.0,0.0,-1,0.0,0.0004016509442676983,5.989369314116324,447,1,1,1,1,2,3,1,9.783
2815,0.074,781931.12,781931.0,1,31,0,5,7,1,1,1,2,2,2,1,0,0,0,1,1,0,0,1,1,166671.0,5166778.0,133334.0,17.0,3890.983,-33337.0,0.7999832004367886,-1,0.0,0.00045395174961190956,10.961781501525529,253,0,1,1,0,1,2,0,354.959
2816,0.191,260393.16,210065.81,26,44,26,8,15,1,1,1,2,2,4,1,0,2,1,1,1,2,0,1,2,45682208.0,1200450188.0,19533497.0,87.0,31115.973,-26148711.0,0.42759529049033707,0,1.0,0.018873395138336198,6.33145874567581,450,1,1,1,1,3,4,0,4914.503
2817,0.077,1057063.12,1057057.55,48,93,48,7,9,1,1,1,2,2,2,1,0,0,2,1,1,0,0,1,1,23585053.0,1533196647.0,6067921.0,21.0,26448.140999999996,-17517132.0,0.2572782431313595,0,1.0,0.00211605528343473,11.824076226616187,364,1,1,1,2,1,2,0,2236.804
2818,0.06,27372.17,27364.0,70,134,70,5,7,1,1,1,2,2,2,1,0,0,0,1,1,0,0,1,1,312910.0,35421100.0,100245.0,17.0,151.10600000000002,-212665.0,0.3203636828481033,0,1.0,0.0008395753789341512,6.575257821678779,230,0,1,1,0,1,2,0,22.981
2819,0.119,1242408.33,1242398.96,83,74,83,8,12,1,1,1,2,2,3,2,0,0,2,1,1,0,0,1,2,27333158.0,1244811764.0,9069100.0,30.0,47669.576,-18264058.0,0.3317984698292089,0,1.0,0.002980587710644213,12.87285946638863,445,1,1,1,2,2,3,1,3703.107
2820,0.104,1686.97,1686.94,12,159,0,7,10,1,1,0,0,0,3,2,0,0,1,1,1,0,0,0,2,13763.0,1126322.0,1.0,8.0,0.14,-13762.0,7.265857734505559e-05,-12,0.0,3.378838983502967e-05,2.456140350877193,436,1,1,1,1,2,3,1,0.057
2821,0.071,301859.15,213368.21,80,40,80,5,10,1,1,1,2,2,3,1,0,1,0,1,1,1,0,1,1,27370850.0,545459108.0,19953868.0,16.0,15323.055000000002,-7416982.0,0.7290189380307882,0,1.0,0.014151861886578555,3.586967437437806,359,0,1,1,0,2,3,0,4271.869
2822,0.053,1569.47,1569.47,1,12,0,3,5,1,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,23.0,196.0,0.0,4.0,4.907,-23.0,0.0,-1,0.0,0.0007900756306268996,3.9572580645161293,328,0,1,1,0,1,2,2,1.24
2823,0.032,95321.09,29780.31,79,34,79,4,7,1,0,1,2,2,2,0,0,1,0,1,1,1,0,1,0,4775079.0,78902686.0,2987086.0,16.0,2404.837,-1787993.0,0.6255573991550716,0,1.0,0.008909360981919112,2.8317185752134235,238,0,1,1,0,1,2,0,849.25
2824,0.106,1053206.31,1053188.11,71,71,71,9,12,1,1,1,2,2,3,2,0,0,2,1,1,0,0,1,2,14335116.0,431123886.0,9242831.0,30.0,30018.064000000002,-5092285.0,0.6447684832128321,0,1.0,0.002101711676983781,13.56113657062727,369,1,1,1,2,2,3,0,2213.536
2825,0.089,98801.06,29933.96,83,141,83,5,10,1,0,1,2,2,3,0,0,2,0,1,1,2,0,1,0,4924499.0,288457971.0,2985019.0,28.0,3357.992999999999,-1939480.0,0.6061568902745234,0,1.0,0.012133958886675912,2.8010164758167835,387,0,1,1,0,2,3,0,1198.848
2826,0.096,223706.49,223702.29,36,27,36,7,10,1,1,1,2,2,3,2,0,0,0,1,1,0,0,1,2,3311715.0,77535860.0,1150011.0,26.0,2229.5750000000003,-2161704.0,0.3472554250592216,0,1.0,0.001169863243574203,8.519388168402712,373,0,1,1,0,2,3,2,261.706
2827,0.171,265415.96,223918.67,50,76,50,8,15,1,1,1,2,2,4,2,0,1,1,1,1,1,0,1,3,27194275.0,514780356.0,20511460.0,34.0,31600.190000000002,-6682815.0,0.7542565484830906,0,1.0,0.02328797409168612,5.1124720918945155,531,1,1,1,2,3,4,0,6181.0
2828,0.058,134.39,134.38,6,208,0,4,6,1,1,0,0,0,2,1,0,0,0,1,1,0,0,0,1,151.0,18108.0,0.0,4.0,0.038,-151.0,0.0,-6,0.0,0.00016370265644765237,1.7272727272727273,258,0,1,1,0,1,2,2,0.022
2829,0.038,1989.95,1989.88,31,163,31,5,7,1,1,0,0,0,2,1,0,0,1,1,1,0,0,0,1,40371.0,5441773.0,30112.0,7.0,20.913,-10259.0,0.7458819449604914,0,1.0,0.0037835121485464457,2.777659715765706,323,1,1,1,1,1,2,0,7.529
2830,0.065,29853.87,29847.22,48,137,48,5,10,1,1,1,2,2,3,1,0,1,0,1,1,1,0,1,1,60280178.0,8221819526.0,54827.0,14.0,92.34700000000001,-60225351.0,0.0009095361330883927,0,1.0,0.0005800587997469005,5.332736617196974,330,0,1,1,0,2,3,0,17.317
2831,0.065,312920.51,213368.21,90,45,90,5,10,1,1,1,2,2,3,1,0,1,0,1,1,1,0,1,1,27370860.0,571662006.0,20470602.0,16.0,12271.574999999999,-6900258.0,0.7478976546590059,0,1.0,0.010930983718516885,3.5876248966168682,303,0,1,1,0,2,3,0,3420.529
2832,0.11,256257.5,241323.04,18,64,18,7,12,1,1,1,2,2,3,1,0,1,1,1,1,1,0,1,2,39281174.0,1022419416.0,19134881.0,18.0,19403.971,-20146293.0,0.4871259957759918,0,1.0,0.01344569817468757,5.631585393496153,407,1,1,1,1,2,3,0,3445.561
2833,0.114,14250.86,145.38,17,35,17,5,12,1,0,0,0,0,4,0,1,2,0,2,1,2,0,0,0,4947295.0,77784545.0,2664592.0,15.0,1400.8260000000002,-2282703.0,0.5385957376707877,0,1.0,0.034020894177614544,2.889331658509118,503,0,1,1,0,3,4,2,484.827
2834,0.063,224265.86,224258.63,62,53,62,5,7,1,1,1,2,2,2,1,0,0,0,1,1,0,0,1,1,3249332.0,146092218.0,1100071.0,17.0,2039.9999999999998,-2149261.0,0.3385529702720436,0,1.0,0.0011350858307189512,8.013796300297374,290,0,1,1,0,1,2,1,254.561
2835,0.117,219.96,145.38,79,167,79,5,12,1,0,0,0,0,4,0,1,2,0,2,1,2,0,0,0,9154458.0,1477571016.0,4084.0,12.0,1.1280000000000001,-9150374.0,0.00044612144159708855,0,1.0,0.0016503000545553736,3.107438016528926,461,0,1,1,0,3,4,0,0.363
2836,0.086,30247.78,30183.3,66,158,66,10,15,1,1,1,2,2,4,2,0,1,1,1,1,1,0,1,3,26829003.0,3652051478.0,116289.0,32.0,280.806,-26712714.0,0.0043344510416581635,0,1.0,0.0011275207635072723,8.233572789913502,558,1,1,1,2,3,4,0,34.105
2837,0.075,668135.8,234508.3,51,14,51,5,10,1,0,1,2,2,3,0,0,2,0,1,1,2,0,1,0,22553129.0,237031494.0,12470793.0,36.0,14180.698,-10082336.0,0.5529517877541515,0,1.0,0.007628205224147545,2.7823419063048336,291,0,1,1,0,2,3,0,5096.677
2838,0.054,1969.31,1969.06,100,112,100,4,6,1,1,0,0,0,2,1,0,0,0,1,1,0,0,0,1,30440.0,2369280.0,20250.0,6.0,8.757000000000001,-10190.0,0.6652431011826544,0,1.0,0.001615794364523615,2.7520427404148338,226,0,1,1,0,1,2,0,3.182
2839,0.097,1236008.17,1235999.29,76,39,76,9,12,1,1,1,2,2,3,2,0,0,2,1,1,0,0,1,2,27337859.0,836226883.0,9069773.0,30.0,73368.08500000002,-18268086.0,0.3317660318607979,0,1.0,0.0056113779571537944,10.578310739392327,504,1,1,1,1,2,3,0,6935.709
2840,0.171,30237.94,30182.35,59,299,59,8,13,1,1,1,2,2,4,2,0,1,0,1,1,1,0,1,2,9181938.0,2712134052.0,103512.0,29.0,326.5439999999999,-9078426.0,0.011273437045643306,0,1.0,0.0016756763192201584,6.444650575302452,522,0,1,1,0,3,4,0,50.669
2841,0.049,2016.13,2015.94,75,241,75,6,9,1,1,0,0,0,3,2,0,0,0,1,1,0,0,0,2,30925.0,5257955.0,20255.0,9.0,13.370000000000001,-10670.0,0.6549717057396928,0,1.0,0.0028262066434208114,2.3464373464373462,354,0,1,1,0,2,3,0,5.698
